RelativePath,Disposition,PublicTracking,Notes
.gitattributes,HANDOFF_INDEX_RESEARCH_NOTE,INCLUDED,"Repository guide, inventory, provenance, publication review, or research-note artifact. Classified 2026-09-25."
.gitignore,HANDOFF_INDEX_RESEARCH_NOTE,INCLUDED,"Repository guide, inventory, provenance, publication review, or research-note artifact."
ARTIFACT_INDEX.md,HANDOFF_INDEX_RESEARCH_NOTE,INCLUDED,"Repository guide, inventory, provenance, publication review, or research-note artifact."
PUBLICATION_STATUS.md,HANDOFF_INDEX_RESEARCH_NOTE,INCLUDED,"Repository guide, inventory, provenance, publication review, or research-note artifact."
PUBLICATION_STATUS_ADDENDUM_2026-09-25.md,HANDOFF_INDEX_RESEARCH_NOTE,INCLUDED,"Repository guide, inventory, provenance, publication review, or research-note artifact. Dated supplement; does not replace PUBLICATION_STATUS.md."
README.md,HANDOFF_INDEX_RESEARCH_NOTE,INCLUDED,"Repository guide, inventory, provenance, publication review, or research-note artifact."
RESEARCH_HISTORY.md,HANDOFF_INDEX_RESEARCH_NOTE,INCLUDED,"Repository guide, inventory, provenance, publication review, or research-note artifact."
eaw/v0.4.8/EAW_v0.4.8_CANDIDATE.md,PARTIAL_ARCHIVAL_RESEARCH_PACKET,INCLUDED,"Previously published partial archival research packet (per its MANIFEST.json); candidate status, not frozen, no implementation; not promoted to canonical evidence. Classified 2026-09-25."
eaw/v0.4.8/README.md,PARTIAL_ARCHIVAL_RESEARCH_PACKET,INCLUDED,"Previously published partial archival research packet (per its MANIFEST.json); candidate status, not frozen, no implementation; not promoted to canonical evidence. Classified 2026-09-25."
eaw/v0.4.8/p4-same-q-composition/CURRENT_STATE.md,PARTIAL_ARCHIVAL_RESEARCH_PACKET,INCLUDED,"Previously published partial archival research packet (per its MANIFEST.json); candidate status, not frozen, no implementation; not promoted to canonical evidence. Classified 2026-09-25."
eaw/v0.4.8/p4-same-q-composition/EGA-01.md,PARTIAL_ARCHIVAL_RESEARCH_PACKET,INCLUDED,"Previously published partial archival research packet (per its MANIFEST.json); candidate status, not frozen, no implementation; not promoted to canonical evidence. Classified 2026-09-25."
eaw/v0.4.8/p4-same-q-composition/MANIFEST.json,PARTIAL_ARCHIVAL_RESEARCH_PACKET,INCLUDED,"Previously published partial archival research packet (per its MANIFEST.json); candidate status, not frozen, no implementation; not promoted to canonical evidence. Classified 2026-09-25."
eaw/v0.4.8/p4-same-q-composition/MISSING_OR_UNRESOLVED.md,PARTIAL_ARCHIVAL_RESEARCH_PACKET,INCLUDED,"Previously published partial archival research packet (per its MANIFEST.json); candidate status, not frozen, no implementation; not promoted to canonical evidence. Classified 2026-09-25."
eaw/v0.4.8/p4-same-q-composition/SOURCE_PROVENANCE.md,PARTIAL_ARCHIVAL_RESEARCH_PACKET,INCLUDED,"Previously published partial archival research packet (per its MANIFEST.json); candidate status, not frozen, no implementation; not promoted to canonical evidence. Classified 2026-09-25."
experiments/prospective-diag-2arm-01/analyses/PAIRWISE_EXECUTION_005_ANALYSIS.json,HISTORICAL_EXECUTION_ARTIFACT,INCLUDED,"Preserved execution, raw/log/result, conclusion, or post-execution trace artifact."
experiments/prospective-diag-2arm-01/analyses/PAIRWISE_EXECUTION_005_ANALYSIS.md,HISTORICAL_EXECUTION_ARTIFACT,INCLUDED,"Preserved execution, raw/log/result, conclusion, or post-execution trace artifact."
experiments/prospective-diag-2arm-01/analyses/TRACE_INTEGRITY_AUDIT_EXECUTION_005.json,HISTORICAL_EXECUTION_ARTIFACT,INCLUDED,"Preserved execution, raw/log/result, conclusion, or post-execution trace artifact."
experiments/prospective-diag-2arm-01/design/CORPUS_MANIFEST.json,CANONICAL_FROZEN_EVIDENCE,INCLUDED,"Frozen design, pre-observation patch, manifest, corpus, or target configuration record."
