SourcePath,Filename,Bytes,SHA256,Classification,MatchingStagedArtifact,RecommendedAction,Notes
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\AGENTS.md,AGENTS.md,2921,4eac5a69e3e5c26eb65f0d45e3dac0178fae5cd57c0b28f3d4013b577a2e8e2c,NEW_RELEVANT_ARTIFACT,,Clearly named AICOS research-context text artifact; copy as non-canonical context if no conflict.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\ai-council-os\CHANGELOG.md,CHANGELOG.md,2898,0c9de975723c49730ea82469705e46e92b5a5ffabfc63b798a7f02adf64240ce,POSSIBLE_OLDER_OR_SUPERSEDED_VERSION,,Preserve at original path; do not copy without provenance review.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\ai-council-os\Content_Engine_och_Varumarkesstrateg.md,Content_Engine_och_Varumarkesstrateg.md,4491,c7a2a4405d356ebe4338fc7c0bc12008ba207a2dedeb5098690511ccacbcd488,POSSIBLE_OLDER_OR_SUPERSEDED_VERSION,,Preserve at original path; do not copy without provenance review.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\ai-council-os\Council_Operating_Protocol.md,Council_Operating_Protocol.md,13047,5ff0eca91ca6a36eb3f97094b17343b5cb4b7e591c103ecc4335cb0a3aaa4bd4,POSSIBLE_OLDER_OR_SUPERSEDED_VERSION,,Preserve at original path; do not copy without provenance review.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\ai-council-os\Ekonomi_och_Juridikansvarig.md,Ekonomi_och_Juridikansvarig.md,6021,9a938bdefb658f860fccec9ad104e49bbd849f388c272414aea5cd278f45aba0,POSSIBLE_OLDER_OR_SUPERSEDED_VERSION,,Preserve at original path; do not copy without provenance review.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\ai-council-os\Faktakontroll_och_Aktualitetsansvarig.md,Faktakontroll_och_Aktualitetsansvarig.md,5730,2f7aa6d81b4157e564fbdacfb16ac1a6e3e13f6a01d2e85956a8848b882dfa77,POSSIBLE_OLDER_OR_SUPERSEDED_VERSION,,Preserve at original path; do not copy without provenance review.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\ai-council-os\Forskning_och_Analyschef.md,Forskning_och_Analyschef.md,4817,bd4a90a8f76a5d9fcacf77373e84308cbfeb72de6231b9ff2034978a0e849a2b,POSSIBLE_OLDER_OR_SUPERSEDED_VERSION,,Preserve at original path; do not copy without provenance review.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\ai-council-os\Intrycksseparation.md,Intrycksseparation.md,6380,9ddfbda5ae01f618bf18b5f801527a66874e5bd44d424fa2e66608d6533c9974,POSSIBLE_OLDER_OR_SUPERSEDED_VERSION,,Preserve at original path; do not copy without provenance review.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\ai-council-os\Kritisk_Granskare.md,Kritisk_Granskare.md,5291,0cccdbad18b0bd95cc4e3b81e642b508333515463c8653b7c4ce8ba7bb84b79c,POSSIBLE_OLDER_OR_SUPERSEDED_VERSION,,Preserve at original path; do not copy without provenance review.,Filename/path or bounded text scan matched AICOS research terms.
C:\Users\<LOCAL_USER>\.codex\.chatgpt-projects\g-p-6a85876cc2548191b7985a31eddb6d5d\ai-council-os\Leverans_och_Kundansvarig.md,Leverans_och_Kundansvarig.md,4451,69c4498fb0388cb7d53771a35b2d53a27e6401b8836f14d478720f65943f4ce4,POSSIBLE_OLDER_OR_SUPERSEDED_VERSION,,Preserve at original path; do not copy without provenance review.,Filename/path or bounded text scan matched AICOS research terms.
